Date,Close
2016-1-4 下午03:16:00,20.7
2016-1-5 下午03:16:00,19.34
2016-1-6 下午03:16:00,20.59
2016-1-7 下午03:16:00,24.99
2016-1-8 下午03:16:00,27.01
2016-1-11 下午03:16:00,24.3
2016-1-12 下午03:16:00,22.47
2016-1-13 下午03:16:00,25.22
2016-1-14 下午03:16:00,23.95
2016-1-15 下午03:16:00,27.02
2016-1-19 下午03:16:00,26.05
2016-1-20 下午03:16:00,27.59
2016-1-21 下午03:16:00,26.69
2016-1-22 下午03:16:00,22.34
2016-1-25 下午03:16:00,24.15
2016-1-26 下午03:16:00,22.5
2016-1-27 下午03:16:00,23.11
2016-1-28 下午03:16:00,22.42
2016-1-29 下午03:16:00,20.2
2016-2-1 下午03:16:00,19.98
2016-2-2 下午03:16:00,21.98
2016-2-3 下午03:16:00,21.65
2016-2-4 下午03:16:00,21.84
2016-2-5 下午03:16:00,23.38
2016-2-8 下午03:16:00,26
2016-2-9 下午03:16:00,26.54
2016-2-10 下午03:16:00,26.29
2016-2-11 下午03:16:00,28.14
2016-2-12 下午03:16:00,25.4
2016-2-16 下午03:16:00,24.11
2016-2-17 下午03:16:00,22.31
2016-2-18 下午03:16:00,21.64
2016-2-19 下午03:16:00,20.53
2016-2-22 下午03:16:00,19.38
2016-2-23 下午03:16:00,20.98
2016-2-24 下午03:16:00,20.72
2016-2-25 下午03:16:00,19.11
2016-2-26 下午03:16:00,19.81
2016-2-29 下午03:16:00,20.55
2016-3-1 下午03:16:00,17.7
2016-3-2 下午03:16:00,17.09
2016-3-3 下午03:16:00,16.7
2016-3-4 下午03:16:00,16.86
2016-3-7 下午03:16:00,17.35
2016-3-8 下午03:16:00,18.67
2016-3-9 下午03:16:00,18.34
2016-3-10 下午03:16:00,18.05
2016-3-11 下午03:16:00,16.5
2016-3-14 下午03:16:00,16.92
2016-3-15 下午03:16:00,16.92
2016-3-16 下午03:16:00,14.99
2016-3-17 下午03:16:00,14.44
2016-3-18 下午03:16:00,14.02
2016-3-21 下午03:16:00,13.79
2016-3-22 下午03:16:00,14.17
2016-3-23 下午03:16:00,14.94
2016-3-24 下午03:16:00,14.74
2016-3-28 下午03:16:00,15.24
2016-3-29 下午03:16:00,13.82
2016-3-30 下午03:16:00,13.56
2016-3-31 下午03:16:00,13.95
2016-4-1 下午03:16:00,13.1
2016-4-4 下午03:16:00,14.12
2016-4-5 下午03:16:00,15.42
2016-4-6 下午03:16:00,14.09
2016-4-7 下午03:16:00,16.16
2016-4-8 下午03:16:00,15.36
2016-4-11 下午03:16:00,16.26
2016-4-12 下午03:16:00,14.85
2016-4-13 下午03:16:00,13.84
2016-4-14 下午03:16:00,13.72
2016-4-15 下午03:16:00,13.62
2016-4-18 下午03:16:00,13.35
2016-4-19 下午03:16:00,13.24
2016-4-20 下午03:16:00,13.28
2016-4-21 下午03:16:00,13.95
2016-4-22 下午03:16:00,13.22
2016-4-25 下午03:16:00,14.08
2016-4-26 下午03:16:00,13.96
2016-4-27 下午03:16:00,13.77
2016-4-28 下午03:16:00,15.22
2016-4-29 下午03:16:00,15.7
2016-5-2 下午03:16:00,14.68
2016-5-3 下午03:16:00,15.6
2016-5-4 下午03:16:00,16.05
2016-5-5 下午03:16:00,15.91
2016-5-6 下午03:16:00,14.72
2016-5-9 下午03:16:00,14.57
2016-5-10 下午03:16:00,13.63
2016-5-11 下午03:16:00,14.69
2016-5-12 下午03:16:00,14.41
2016-5-13 下午03:16:00,15.04
2016-5-16 下午03:16:00,14.68
2016-5-17 下午03:16:00,15.57
2016-5-18 下午03:16:00,15.95
2016-5-19 下午03:16:00,16.33
2016-5-20 下午03:16:00,15.2
2016-5-23 下午03:16:00,15.82
2016-5-24 下午03:16:00,14.42
2016-5-25 下午03:16:00,13.9
2016-5-26 下午03:16:00,13.43
2016-5-27 下午03:16:00,13.12
2016-5-31 下午03:16:00,14.19
2016-6-1 下午03:16:00,14.2
2016-6-2 下午03:16:00,13.63
2016-6-3 下午03:16:00,13.47
2016-6-6 下午03:16:00,13.65
2016-6-7 下午03:16:00,14.05
2016-6-8 下午03:16:00,14.08
2016-6-9 下午03:16:00,14.64
2016-6-10 下午03:16:00,17.03
2016-6-13 下午03:16:00,20.97
2016-6-14 下午03:16:00,20.5
2016-6-15 下午03:16:00,20.14
2016-6-16 下午03:16:00,19.37
2016-6-17 下午03:16:00,19.41
2016-6-20 下午03:16:00,18.37
2016-6-21 下午03:16:00,18.48
2016-6-22 下午03:16:00,21.17
2016-6-23 下午03:16:00,17.25
2016-6-24 下午03:16:00,25.76
2016-6-27 下午03:16:00,23.85
2016-6-28 下午03:16:00,18.75
2016-6-29 下午03:16:00,16.64
2016-6-30 下午03:16:00,15.63
2016-7-1 下午03:16:00,14.77
2016-7-5 下午03:16:00,15.58
2016-7-6 下午03:16:00,14.96
2016-7-7 下午03:16:00,14.76
2016-7-8 下午03:16:00,13.2
2016-7-11 下午03:16:00,13.54
2016-7-12 下午03:16:00,13.55
2016-7-13 下午03:16:00,13.04
2016-7-14 下午03:16:00,12.82
2016-7-15 下午03:16:00,12.67
2016-7-18 下午03:16:00,12.44
2016-7-19 下午03:16:00,11.97
2016-7-20 下午03:16:00,11.77
2016-7-21 下午03:16:00,12.74
2016-7-22 下午03:16:00,12.02
2016-7-25 下午03:16:00,12.87
2016-7-26 下午03:16:00,13.05
2016-7-27 下午03:16:00,12.83
2016-7-28 下午03:16:00,12.72
2016-7-29 下午03:16:00,11.87
2016-8-1 下午03:16:00,12.44
2016-8-2 下午03:16:00,13.37
2016-8-3 下午03:16:00,12.86
2016-8-4 下午03:16:00,12.42
2016-8-5 下午03:16:00,11.39
2016-8-8 下午03:16:00,11.5
2016-8-9 下午03:16:00,11.66
2016-8-10 下午03:16:00,12.05
2016-8-11 下午03:16:00,11.68
