Date,Close
2016-1-4 下午04:00:00,21.14
2016-1-5 下午04:00:00,21.08
2016-1-6 下午04:00:00,20.82
2016-1-7 下午04:00:00,20.2
2016-1-8 下午04:00:00,20.05
2016-1-11 下午04:00:00,20.18
2016-1-12 下午04:00:00,20.42
2016-1-13 下午04:00:00,19.86
2016-1-14 下午04:00:00,20.24
2016-1-15 下午04:00:00,19.67
2016-1-19 下午04:00:00,19.69
2016-1-20 下午04:00:00,19.54
2016-1-21 下午04:00:00,19.65
2016-1-22 下午04:00:00,20.19
2016-1-25 下午04:00:00,19.95
2016-1-26 下午04:00:00,20.15
2016-1-27 下午04:00:00,19.74
2016-1-28 下午04:00:00,19.99
2016-1-29 下午04:00:00,20.62
2016-2-1 下午04:00:00,20.7
2016-2-2 下午04:00:00,20.33
2016-2-3 下午04:00:00,20.3
2016-2-4 下午04:00:00,20.32
2016-2-5 下午04:00:00,19.75
2016-2-8 下午04:00:00,19.47
2016-2-9 下午04:00:00,19.38
2016-2-10 下午04:00:00,19.42
2016-2-11 下午04:00:00,19.36
2016-2-12 下午04:00:00,19.64
2016-2-16 下午04:00:00,19.99
2016-2-17 下午04:00:00,20.4
2016-2-18 下午04:00:00,20.32
2016-2-19 下午04:00:00,20.33
2016-2-22 下午04:00:00,20.6
2016-2-23 下午04:00:00,20.27
2016-2-24 下午04:00:00,20.43
2016-2-25 下午04:00:00,20.69
2016-2-26 下午04:00:00,20.63
2016-2-29 下午04:00:00,20.49
2016-3-1 下午04:00:00,21.1
2016-3-2 下午04:00:00,21.16
2016-3-3 下午04:00:00,21.16
2016-3-4 下午04:00:00,21.21
2016-3-7 下午04:00:00,21.08
2016-3-8 下午04:00:00,20.95
2016-3-9 下午04:00:00,21.13
2016-3-10 下午04:00:00,21.11
2016-3-11 下午04:00:00,21.44
2016-3-14 下午04:00:00,21.46
2016-3-15 下午04:00:00,21.54
2016-3-16 下午04:00:00,21.79
2016-3-17 下午04:00:00,21.87
2016-3-18 下午04:00:00,21.8
2016-3-21 下午04:00:00,21.87
2016-3-22 下午04:00:00,21.88
2016-3-23 下午04:00:00,21.75
2016-3-24 下午04:00:00,21.81
2016-3-28 下午04:00:00,21.76
2016-3-29 下午04:00:00,22.1
2016-3-30 下午04:00:00,22.23
2016-3-31 下午04:00:00,22.18
2016-4-1 下午04:00:00,22.35
2016-4-4 下午04:00:00,22.27
2016-4-5 下午04:00:00,22.05
2016-4-6 下午04:00:00,22.27
2016-4-7 下午04:00:00,21.95
2016-4-8 下午04:00:00,21.95
2016-4-11 下午04:00:00,21.89
2016-4-12 下午04:00:00,22.04
2016-4-13 下午04:00:00,22.26
2016-4-14 下午04:00:00,22.26
2016-4-15 下午04:00:00,22.17
2016-4-18 下午04:00:00,22.27
2016-4-19 下午04:00:00,22.14
