Date,Close
2016-1-4 下午04:00:00,30.15
2016-1-5 下午04:00:00,30.27
2016-1-6 下午04:00:00,29.1
2016-1-7 下午04:00:00,28.39
2016-1-8 下午04:00:00,28.03
2016-1-11 下午04:00:00,27.43
2016-1-12 下午04:00:00,27.49
2016-1-13 下午04:00:00,26.83
2016-1-14 下午04:00:00,27.99
2016-1-15 下午04:00:00,27.18
2016-1-19 下午04:00:00,26.59
2016-1-20 下午04:00:00,25.89
2016-1-21 下午04:00:00,26.69
2016-1-22 下午04:00:00,27.87
2016-1-25 下午04:00:00,26.57
2016-1-26 下午04:00:00,27.58
2016-1-27 下午04:00:00,27.45
2016-1-28 下午04:00:00,28.28
2016-1-29 下午04:00:00,29.11
2016-2-1 下午04:00:00,28.62
2016-2-2 下午04:00:00,27.67
2016-2-3 下午04:00:00,28.65
2016-2-4 下午04:00:00,28.64
2016-2-5 下午04:00:00,27.97
2016-2-8 下午04:00:00,27.83
2016-2-9 下午04:00:00,27.16
2016-2-10 下午04:00:00,27.05
2016-2-11 下午04:00:00,26.93
2016-2-12 下午04:00:00,27.64
2016-2-16 下午04:00:00,27.92
2016-2-17 下午04:00:00,28.83
2016-2-18 下午04:00:00,28.47
2016-2-19 下午04:00:00,28.41
2016-2-22 下午04:00:00,29.13
2016-2-23 下午04:00:00,28.14
2016-2-24 下午04:00:00,28.42
2016-2-25 下午04:00:00,28.45
2016-2-26 下午04:00:00,28.62
2016-2-29 下午04:00:00,28.29
2016-3-1 下午04:00:00,29.03
2016-3-2 下午04:00:00,29.74
2016-3-3 下午04:00:00,30.19
2016-3-4 下午04:00:00,30.48
2016-3-7 下午04:00:00,31.2
2016-3-8 下午04:00:00,29.89
2016-3-9 下午04:00:00,30.37
2016-3-10 下午04:00:00,30.4
2016-3-11 下午04:00:00,31.18
2016-3-14 下午04:00:00,30.98
2016-3-15 下午04:00:00,30.92
2016-3-16 下午04:00:00,31.45
2016-3-17 下午04:00:00,31.88
2016-3-18 下午04:00:00,31.75
2016-3-21 下午04:00:00,31.64
2016-3-22 下午04:00:00,31.46
2016-3-23 下午04:00:00,30.77
2016-3-24 下午04:00:00,30.92
2016-3-28 下午04:00:00,30.76
2016-3-29 下午04:00:00,30.9
2016-3-30 下午04:00:00,30.96
2016-3-31 下午04:00:00,30.95
2016-4-1 下午04:00:00,30.53
2016-4-4 下午04:00:00,30.3
2016-4-5 下午04:00:00,30.1
2016-4-6 下午04:00:00,30.75
2016-4-7 下午04:00:00,30.57
2016-4-8 下午04:00:00,31.19
2016-4-11 下午04:00:00,31.06
2016-4-12 下午04:00:00,31.98
2016-4-13 下午04:00:00,32.13
2016-4-14 下午04:00:00,32.21
2016-4-15 下午04:00:00,31.77
2016-4-18 下午04:00:00,32.3
2016-4-19 下午04:00:00,32.94
2016-4-20 下午04:00:00,33.24
2016-4-21 下午04:00:00,33.04
2016-4-22 下午04:00:00,33.52
2016-4-25 下午04:00:00,33.15
2016-4-26 下午04:00:00,33.67
2016-4-27 下午04:00:00,34.32
2016-4-28 下午04:00:00,33.81
2016-4-29 下午04:00:00,33.75
2016-5-2 下午04:00:00,33.72
2016-5-3 下午04:00:00,32.92
2016-5-4 下午04:00:00,32.45
2016-5-5 下午04:00:00,32.71
2016-5-6 下午04:00:00,32.64
2016-5-9 下午04:00:00,32.16
2016-5-10 下午04:00:00,32.73
2016-5-11 下午04:00:00,32.83
2016-5-12 下午04:00:00,32.92
2016-5-13 下午04:00:00,32.49
2016-5-16 下午04:00:00,33.05
2016-5-17 下午04:00:00,33.2
2016-5-18 下午04:00:00,32.88
2016-5-19 下午04:00:00,32.89
2016-5-20 下午04:00:00,33.08
2016-5-23 下午04:00:00,32.99
2016-5-24 下午04:00:00,33.16
2016-5-25 下午04:00:00,33.69
2016-5-26 下午04:00:00,33.55
2016-5-27 下午04:00:00,33.57
2016-5-31 下午04:00:00,33.44
2016-6-1 下午04:00:00,33.45
2016-6-2 下午04:00:00,33.4
2016-6-3 下午04:00:00,33.27
2016-6-6 下午04:00:00,34.01
2016-6-7 下午04:00:00,34.78
2016-6-8 下午04:00:00,34.7
2016-6-9 下午04:00:00,34.43
2016-6-10 下午04:00:00,33.69
2016-6-13 下午04:00:00,33.59
2016-6-14 下午04:00:00,33.57
2016-6-15 下午04:00:00,33.49
2016-6-16 下午04:00:00,33.33
2016-6-17 下午04:00:00,33.45
2016-6-20 下午04:00:00,33.74
2016-6-21 下午04:00:00,34.14
2016-6-22 下午04:00:00,33.95
2016-6-23 下午04:00:00,34.51
2016-6-24 下午04:00:00,33.39
2016-6-27 下午04:00:00,32.32
2016-6-28 下午04:00:00,33.22
2016-6-29 下午04:00:00,33.85
2016-6-30 下午04:00:00,34.12
2016-7-1 下午04:00:00,34.3
2016-7-5 下午04:00:00,33.61
2016-7-6 下午04:00:00,33.75
2016-7-7 下午04:00:00,33.41
2016-7-8 下午04:00:00,33.85
2016-7-11 下午04:00:00,33.92
2016-7-12 下午04:00:00,34.76
2016-7-13 下午04:00:00,34.46
2016-7-14 下午04:00:00,34.64
2016-7-15 下午04:00:00,34.62
2016-7-18 下午04:00:00,34.64
2016-7-19 下午04:00:00,34.44
2016-7-20 下午04:00:00,34.4
2016-7-21 下午04:00:00,34.06
2016-7-22 下午04:00:00,34.16
2016-7-25 下午04:00:00,33.48
2016-7-26 下午04:00:00,33.67
2016-7-27 下午04:00:00,33.35
2016-7-28 下午04:00:00,33.35
2016-7-29 下午04:00:00,33.69
2016-8-1 下午04:00:00,32.58
2016-8-2 下午04:00:00,32.88
2016-8-3 下午04:00:00,33.51
2016-8-4 下午04:00:00,33.46
2016-8-5 下午04:00:00,33.77
2016-8-8 下午04:00:00,34.22
2016-8-9 下午04:00:00,34.03
2016-8-10 下午04:00:00,33.67
2016-8-11 下午04:00:00,34.16
2016-8-12 下午04:00:00,34.35
2016-8-15 下午04:00:00,34.63
2016-8-16 下午04:00:00,34.68
2016-8-17 下午04:00:00,34.78
2016-8-18 下午04:00:00,35.5
2016-8-19 下午04:00:00,35.21
2016-8-22 下午04:00:00,34.8
2016-8-23 下午04:00:00,35.04
2016-8-24 下午04:00:00,34.91
2016-8-25 下午04:00:00,34.81
2016-8-26 下午04:00:00,34.69
2016-8-29 下午04:00:00,34.92
2016-8-30 下午04:00:00,34.81
2016-8-31 下午04:00:00,34.26
2016-9-1 下午04:00:00,34.16
2016-9-2 下午04:00:00,34.54
2016-9-6 下午04:00:00,35.06
2016-9-7 下午04:00:00,35.26
2016-9-8 下午04:00:00,35.92
2016-9-9 下午04:00:00,34.85
2016-9-12 下午04:00:00,35.2
2016-9-13 下午04:00:00,34.19
2016-9-14 下午04:00:00,33.78
2016-9-15 下午04:00:00,34.21
2016-9-16 下午04:00:00,33.73
2016-9-19 下午04:00:00,33.71
2016-9-20 下午04:00:00,33.46
2016-9-21 下午04:00:00,34.24
2016-9-22 下午04:00:00,34.28
2016-9-23 下午04:00:00,33.82
2016-9-26 下午04:00:00,33.67
2016-9-27 下午04:00:00,33.45
2016-9-28 下午04:00:00,34.89
2016-9-29 下午04:00:00,34.83
2016-9-30 下午04:00:00,35.31
2016-10-3 下午04:00:00,35.28
2016-10-4 下午04:00:00,34.92
2016-10-5 下午04:00:00,35.46
2016-10-6 下午04:00:00,35.51
2016-10-7 下午04:00:00,35.31
2016-10-10 下午04:00:00,35.86
2016-10-11 下午04:00:00,35.45
2016-10-12 下午04:00:00,35.3
2016-10-13 下午04:00:00,35.1
2016-10-14 下午04:00:00,34.9
2016-10-17 下午04:00:00,34.73
2016-10-18 下午04:00:00,34.87
2016-10-19 下午04:00:00,35.37
2016-10-20 下午04:00:00,35.33
2016-10-21 下午04:00:00,35.1
2016-10-24 下午04:00:00,34.99
2016-10-25 下午04:00:00,34.83
2016-10-26 下午04:00:00,34.91
2016-10-27 下午04:00:00,34.78
2016-10-28 下午04:00:00,34.69
2016-10-31 下午04:00:00,34.31
2016-11-1 下午04:00:00,34.32
2016-11-2 下午04:00:00,33.94
2016-11-3 下午04:00:00,34.07
2016-11-4 下午04:00:00,33.89
2016-11-7 下午04:00:00,34.62
2016-11-8 下午04:00:00,34.66
2016-11-9 下午04:00:00,35.23
2016-11-10 下午04:00:00,35.38
2016-11-11 下午04:00:00,34.73
2016-11-14 下午04:00:00,34.92
2016-11-15 下午04:00:00,35.91
2016-11-16 下午04:00:00,35.66
2016-11-17 下午04:00:00,35.42
2016-11-18 下午04:00:00,35.57
2016-11-21 下午04:00:00,36.41
2016-11-22 下午04:00:00,36.39
2016-11-23 下午04:00:00,36.54
2016-11-25 下午04:00:00,36.36
2016-11-28 下午04:00:00,35.85
2016-11-29 下午04:00:00,35.42
2016-11-30 下午04:00:00,37.22
2016-12-1 下午04:00:00,37.31
2016-12-2 下午04:00:00,37.42
2016-12-5 下午04:00:00,37.74
2016-12-6 下午04:00:00,37.67
2016-12-7 下午04:00:00,37.98
2016-12-8 下午04:00:00,38.18
2016-12-9 下午04:00:00,38.3
2016-12-12 下午04:00:00,38.48
2016-12-13 下午04:00:00,38.92
2016-12-14 下午04:00:00,38.14
2016-12-15 下午04:00:00,38.22
2016-12-16 下午04:00:00,38.26
2016-12-19 下午04:00:00,38.08
2016-12-20 下午04:00:00,37.99
2016-12-21 下午04:00:00,38.06
2016-12-22 下午04:00:00,38.21
2016-12-23 下午04:00:00,38.17
2016-12-27 下午04:00:00,38.26
2016-12-28 下午04:00:00,37.85
2016-12-29 下午04:00:00,37.77
2016-12-30 下午04:00:00,37.66
2017-1-3 下午04:00:00,38.09
2017-1-4 下午04:00:00,38.01
2017-1-5 下午04:00:00,37.91
2017-1-6 下午04:00:00,37.95
2017-1-9 下午04:00:00,37.4
2017-1-10 下午04:00:00,37.06
2017-1-11 下午04:00:00,37.46
2017-1-12 下午04:00:00,37.3
2017-1-13 下午04:00:00,37.19
2017-1-17 下午04:00:00,37.42
2017-1-18 下午04:00:00,37.34
2017-1-19 下午04:00:00,37.13
2017-1-20 下午04:00:00,37.27
2017-1-23 下午04:00:00,36.88
2017-1-24 下午04:00:00,37.28
2017-1-25 下午04:00:00,37.48
